TMDb ID,Title,Year,Rating,Popularity,Overview,Deep Tags,Poster URL
278,The Shawshank Redemption,1994,8.712,25.7269,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","Institutionalization of Hope, Quiet Rebellion, The Corrosive Nature of Time, Redemption Through Inner Strength, Power of Human Connection, Existential Endurance",https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
238,The Godfather,1972,8.7,22.1828,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Moral Decay, Legacy of Violence, Power as Corruption, Family as Institution, Inevitability of Fate, Loss of Innocence",https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
240,The Godfather Part II,1974,8.6,12.6223,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","Tragic Idealism, Cyclical Violence, Erosion of Innocence, Moral Compromise, Power and Paranoia, The Immigrant Experience",https://image.tmdb.org/t/p/w500/ecBRkXerAZqRRUfR8Lt3L3Dh6J5.jpg
424,Schindler's List,1993,8.566,11.9193,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"Existential Guilt, Bureaucratic Evil, Fragility of Goodness, Moral Calculus, Witnessing Atrocity, The Banality of Cruelty",https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
389,12 Angry Men,1957,8.549,9.2507,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","Moral Responsibility, Power of Persuasion, Conformity vs. Individuality, Reasonable Doubt, The Fragility of Truth, Empathy as a Catalyst",https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg
129,Spirited Away,2001,8.534,16.8187,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","Existential Displacement, Loss of Innocence, Environmentalism, The Corruption of Greed, Resilience of the Self, Animistic Reconciliation",https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
155,The Dark Knight,2008,8.524,21.4362,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Moral Relativism, The Fragility of Order, The Nature of Chaos, The Price of Heroism, Existential Dread, Societal Decay",https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
19404,Dilwale Dulhania Le Jayenge,1995,8.515,5.5963,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","Cultural Preservation vs. Assimilation,Negotiated Identity,Yearning for Authenticity,The Burden of Tradition,Love as Transgression,Reconciling East and West",https://image.tmdb.org/t/p/w500/2CAL2433ZeIihfX1Hb2139CX0pW.jpg
497,The Green Mile,1999,8.503,13.209,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","Redemption Through Suffering, The Burden of Knowing, Racial Injustice, The Corrosive Nature of Evil, Innocence Lost, Moral Responsibility",https://image.tmdb.org/t/p/w500/o0lO84GI7qrG6XFvtsPOSV7CTNa.jpg
496243,Parasite,2019,8.496,16.6404,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","Class Anxiety, Inherent Inequality, Fragility of Social Order, The Illusion of Control, Moral Decay, Existential Despair",https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
